lda_dim,fpr,tpr
2,0.0,0.0
2,0.0,0.5
2,0.0,0.6538461538461539
2,0.0010683760683760685,0.6538461538461539
2,0.0010683760683760685,0.6666666666666666
2,0.002136752136752137,0.6666666666666666
2,0.002136752136752137,0.6923076923076923
2,0.003205128205128205,0.6923076923076923
2,0.003205128205128205,0.717948717948718
2,0.004273504273504274,0.717948717948718
2,0.004273504273504274,0.7948717948717948
2,0.00641025641025641,0.7948717948717948
2,0.00641025641025641,0.8333333333333334
2,0.007478632478632479,0.8333333333333334
2,0.007478632478632479,0.8589743589743589
2,0.009615384615384616,0.8589743589743589
2,0.009615384615384616,0.8717948717948718
2,0.010683760683760684,0.8717948717948718
2,0.010683760683760684,0.8846153846153846
2,0.011752136752136752,0.8846153846153846
2,0.011752136752136752,0.8974358974358975
2,0.014957264957264958,0.8974358974358975
2,0.014957264957264958,0.9102564102564102
2,0.018162393162393164,0.9102564102564102
2,0.018162393162393164,0.9358974358974359
2,0.019230769230769232,0.9358974358974359
2,0.019230769230769232,0.9487179487179487
2,0.026709401709401708,0.9487179487179487
2,0.026709401709401708,0.9615384615384616
2,0.030982905982905984,0.9615384615384616
2,0.030982905982905984,0.9743589743589743
2,0.03632478632478633,0.9743589743589743
2,0.03632478632478633,0.9871794871794872
2,0.0405982905982906,0.9871794871794872
2,0.0405982905982906,1.0
2,0.4893162393162393,1.0
2,1.0,1.0
3,0.0,0.0
3,0.0,0.8076923076923077
3,0.0,0.8333333333333334
3,0.0,0.9358974358974359
3,0.0010683760683760685,0.9358974358974359
3,0.0010683760683760685,0.9871794871794872
3,0.005341880341880342,0.9871794871794872
3,0.005341880341880342,1.0
3,0.3952991452991453,1.0
3,1.0,1.0
4,0.0,0.0
4,0.0,0.8974358974358975
4,0.0,1.0
4,0.3301282051282051,1.0
4,1.0,1.0
5,0.0,0.0
5,0.0,0.9358974358974359
5,0.0,1.0
5,0.2938034188034188,1.0
5,1.0,1.0
