cate,en1,en2,en3,en4,en5,en6,en7,en8,en9,en10,en11,en12,en13,en14,en15
I,0.144,0.123,0.069,0.206,0.213,0.264,0.191,0.243,0.207,0.247,0.303,0.244,0.144,0.138,0.242
I,0.15,0.111,0.072,0.208,0.214,0.268,0.202,0.254,0.217,0.23,0.303,0.245,0.15,0.147,0.256
I,0.146,0.117,0.071,0.193,0.206,0.256,0.202,0.257,0.225,0.231,0.296,0.246,0.146,0.149,0.258
I,0.147,0.115,0.072,0.199,0.207,0.255,0.202,0.259,0.227,0.236,0.296,0.238,0.147,0.149,0.257
J,0.178,0.141,0.095,0.204,0.201,0.267,0.18,0.255,0.207,0.244,0.28,0.238,0.178,0.133,0.258
J,0.181,0.137,0.095,0.207,0.209,0.267,0.189,0.259,0.213,0.243,0.282,0.243,0.181,0.135,0.241
J,0.177,0.14,0.094,0.207,0.212,0.269,0.189,0.269,0.215,0.243,0.283,0.246,0.177,0.14,0.258
J,0.171,0.131,0.091,0.209,0.213,0.252,0.187,0.265,0.202,0.23,0.285,0.246,0.161,0.146,0.245
J,0.173,0.138,0.091,0.207,0.195,0.251,0.191,0.267,0.206,0.234,0.273,0.238,0.163,0.143,0.247
J,0.173,0.13,0.09,0.21,0.203,0.254,0.19,0.274,0.207,0.239,0.278,0.222,0.163,0.144,0.248
K,0.109,0.204,0.07,0.191,0.228,0.244,0.194,0.223,0.22,0.237,0.253,0.318,0.111,0.126,0.229
K,0.102,0.209,0.072,0.191,0.229,0.242,0.195,0.229,0.222,0.234,0.25,0.327,0.102,0.127,0.228
K,0.105,0.203,0.074,0.194,0.233,0.244,0.199,0.232,0.222,0.235,0.251,0.338,0.115,0.128,0.226
K,0.091,0.201,0.071,0.2,0.238,0.234,0.205,0.225,0.224,0.225,0.257,0.325,0.091,0.132,0.225
K,0.099,0.212,0.08,0.197,0.241,0.232,0.203,0.229,0.225,0.221,0.245,0.323,0.089,0.132,0.223
K,0.091,0.211,0.079,0.198,0.235,0.235,0.209,0.232,0.229,0.226,0.245,0.318,0.091,0.13,0.225
L,0.167,0.143,0.089,0.232,0.249,0.219,0.156,0.243,0.223,0.216,0.187,0.309,0.167,0.157,0.179
L,0.172,0.143,0.098,0.239,0.25,0.227,0.157,0.238,0.223,0.249,0.2,0.313,0.172,0.158,0.176
L,0.172,0.139,0.097,0.247,0.253,0.216,0.158,0.247,0.222,0.238,0.194,0.315,0.172,0.166,0.183
L,0.171,0.135,0.093,0.241,0.247,0.227,0.161,0.232,0.239,0.22,0.192,0.296,0.171,0.153,0.186
L,0.17,0.132,0.095,0.239,0.244,0.223,0.16,0.249,0.225,0.223,0.206,0.286,0.17,0.164,0.187
L,0.175,0.142,0.098,0.243,0.251,0.224,0.166,0.231,0.234,0.242,0.207,0.283,0.175,0.171,0.186
M,0.101,0.135,0.071,0.183,0.204,0.214,0.174,0.232,0.185,0.218,0.275,0.26,0.101,0.124,0.203
M,0.102,0.136,0.069,0.188,0.204,0.208,0.173,0.229,0.193,0.209,0.27,0.265,0.102,0.126,0.201
M,0.1,0.136,0.069,0.185,0.203,0.21,0.174,0.239,0.197,0.212,0.268,0.263,0.1,0.127,0.202
M,0.09,0.13,0.061,0.19,0.203,0.215,0.188,0.237,0.202,0.214,0.269,0.265,0.09,0.12,0.199
M,0.085,0.139,0.062,0.179,0.202,0.215,0.186,0.242,0.204,0.216,0.267,0.251,0.085,0.119,0.198
M,0.091,0.129,0.067,0.182,0.202,0.216,0.181,0.246,0.207,0.219,0.275,0.246,0.081,0.117,0.191
